name(All At Once!)
snap(-65,-53,-36)
sky(255,255,255)
fog(255,255,255)
ground(192,188,212)
polys(192,188,212)
fadefrom(9000)
nlaps(1)

.set(61,-1200000000,-1200000000,-400000000,-45)

set(47,0,0,250,0)
set(10,0,0,250,0)p
set(10,0,5600,250,0)p
set(10,0,11200,250,0)p
set(10,0,16800,250,0)p
chk(40,0,17075,250,0)
set(14,0,21350,250,0)pt
set(22,2310,21350,250,90)p
set(18,5670,21350,250,90)pr
set(36,7310,23160,250,0)pr
set(36,9270,23160,250,0)
set(18,11270,21350,250,90)p
set(19,15820,21350,250,-90)pt
set(25,17274,17334,250,-90)
set(36,18357,17334,250,-90)pr
set(18,15820,16800,250,180)p
set(36,18357,15374,250,-90)
set(25,17274,15374,250,-90)
set(36,18357,13414,250,-90)
set(25,17274,13414,250,-90)
set(18,15820,11200,250,0)p
set(21,15820,5600,250,0)p
chk(42,15820,1483,250,0)
set(15,15820,0,250,0)p
set(16,15820,-5600,250,0)p
set(35,16060,-10080,250,0)pr
set(44,15820,-11200,250,0)p
set(35,15610,-12270,250,0)pr
set(43,15820,-16800,250,180)p
set(44,15820,-22400,250,180)p
set(34,15820,-22460,250,0)
set(15,15820,-28000,250,0)p
set(20,15820,-33600,250,180)p
set(10,15820,-39200,250,180)p
chk(40,15820,-37160,250,0)
set(14,15820,-43750,250,180)pt
set(45,10761,-43750,250,90)p
set(45,6281,-43750,250,-90)p
set(10,1290,-43750,250,-90)pf
set(10,-4308,-43750,250,-90)pr
set(31,-10417,-43750,250,90)pr
fix(41,-16320,-43750,-5000,90)
set(37,-17216,-43980,250,0)
set(23,-18032,-43750,250,90)p
set(37,-18524,-43750,250,-90)
set(37,-19876,-43616,250,0)
set(10,-20832,-43750,250,90)p
set(37,-21220,-43750,250,-90)
set(30,-25312,-43750,250,-90)
set(10,-31421,-43750,250,90)p

chk(40,-34221,-43750,250,90)
set(14,-35971,-43750,250,90)pt
set(11,-35971,-39200,250,0)p
set(13,-37491,-33570,250,30)p
chk(40,-39011,-30740,250,0)
set(12,-37491,-27910,250,-30)pr
set(38,-35971,-23204,250,0)
set(10,-35971,-22280,250,0)pr
set(38,-35971,-21776,250,0)
set(38,-35971,-20360,250,0)
set(38,-35971,-18680,250,0)
set(38,-35971,-16944,250,0)
set(10,-35971,-16680,250,0)pr
set(27,-35971,-13880,250,0)pr

set(23,-36375,-9731,250,-90)
set(23,-36375,-9731,250,90)
set(37,-37050,-9704,250,180)
set(37,-35646,-9677,250,180)

set(23,-36400,-5235,250,0)
set(10,-36400,-2435,250,180)p
set(49,-35700,1765,250,180)
set(49,-37100,1765,250,0)
set(10,-36400,3165,250,180)p
set(49,-37100,4565,250,0)
set(49,-35700,4565,250,180)
set(49,-35700,7365,250,180)
set(49,-37100,7365,250,0)
set(10,-36400,8765,250,180)p
set(49,-37100,10165,250,0)
set(49,-35700,10165,250,180)
set(10,-36400,14365,250,180)p
set(54,-35700,15075,250,0)
set(54,-37100,15075,250,0)
set(54,-35700,16725,250,0)
set(54,-37100,16725,250,0)
set(54,-35700,18300,250,0)
set(54,-37100,18300,250,0)
set(10,-36400,19965,250,180)p
set(50,-36400,21960,250,0)
set(10,-36400,25565,250,180)p
set(52,-36700,29000,250,0)
set(10,-36400,31165,250,180)
set(52,-35996,32526,250,0)
set(10,-36400,36765,250,0)p
set(51,-36400,36625,250,0)
set(10,-36400,42365,250,0)p
set(14,-36400,46915,250,0)pt
set(10,-31850,46915,250,-90)p
chk(40,-31925,46915,250,90)
set(14,-27300,46915,250,-90)pt
set(10,-27300,42365,250,180)p
set(10,-27300,36765,250,0)pr
chk(40,-27300,31767,250,0)
set(56,-27300,31767,250,180)
set(10,-27300,31165,250,0)p
set(10,-27300,25565,250,0)p
set(10,-27300,19965,250,0)p
.set(78,-27300,17825,250,0)
set(10,-27300,14365,250,0)p
set(10,-27300,8765,250,0)pr
chk(40,-27300,3323,250,0)
set(57,-27300,3323,250,0)
set(10,-27300,3165,250,0)p
set(10,-27300,-1675,250,180)
set(10,-27300,-12363,250,0)pr
set(28,-27300,-17327,250,0)pr
set(10,-27300,-22291,250,0)pr
chk(40,-27300,-24602,250,0)
set(20,-27300,-27891,250,0)p
set(17,-27300,-32441,250,90)pt
set(15,-22750,-32441,250,-90)p
set(33,-24290,-32441,250,-90)
set(33,-21420,-32441,250,-90)
set(33,-18714,-32441,250,-90)
set(15,-17150,-32441,250,90)p
set(33,-16090,-32441,250,-90)
set(16,-11550,-32441,250,-90)p
set(17,-7000,-32441,250,180)pt
set(17,-7000,-28941,250,0)pt
chk(42,-5452,-28941,250,90)
set(17,-3500,-28941,250,-90)pt
set(17,-3500,-32441,250,90)pt
chk(42,-1750,-32441,250,90)
set(17,0,-32441,250,180)pt
set(15,0,-27891,250,0)p
set(33,0,-27150,250,0)pr
set(33,0,-25428,250,0)
set(24,0,-25091,250,0)
set(23,0,-19600,250,0)p
set(10,0,-16800,250,0)p
set(32,350,-12973,250,0)
set(32,-350,-11623,250,0)
set(10,0,-11200,250,0)p
set(32,350,-9895,250,0)
set(32,-350,-8400,250,0)
set(10,0,-5600,250,0)p
chk(40,0,-2375,250,0)

set(23,-27300,-9563,250,180)
set(29,-27300,-6639,250,180)
set(24,-14386,-25700,250,180)
set(15,-14386,-22900,250,180)
.set(63,-14017,-22410,250,180)
.set(63,-14673,-21261,250,-90)
.set(63,-14878,-24869,250,90)
.set(62,-14755,-24008,250,-90)
.set(62,-13935,-24869,250,90)
.set(62,-14714,-25935,250,0)
.set(63,-14714,-22498,250,0)
set(15,-14386,-17300,250,180)
.set(63,-14017,-20400,250,180)
set(15,-14386,-11700,250,0)
set(53,-14386,-16092,250,0)
.set(62,-14345,-11631,250,-90)
.set(62,-14714,-9868,250,0)
.set(63,-14714,-12451,250,0)
.set(63,-14099,-12984,250,-90)
.set(63,-14386,-10729,250,90)
.set(62,-14714,-13968,250,180)
set(15,-14386,-6100,250,0)
.set(63,-14386,-8023,250,180)
.set(63,-14058,-9171,250,-90)
set(15,-14386,-500,250,0)
set(55,-14386,-5352,250,180)
set(15,-14386,5100,250,180)
.set(63,-14017,5845,250,0)
.set(63,-14632,4820,250,-90)
set(24,-14386,7900,250,0)
.set(62,-14386,7772,250,0)
.set(62,-14755,6624,250,90)

.set(65,1721,1695,250,0)
.set(66,-1578,1521,250,180)
.set(65,2153,6102,250,0)
.set(65,-4068,14060,250,90)
.set(65,4132,23000,250,180)
.set(65,12872,17120,250,-90)
.set(65,20328,9440,250,0)
.set(65,11508,6740,250,90)
.set(65,18276,-4548,250,180)
.set(65,10796,-14764,250,-90)
.set(66,2054,-11139,250,0)
.set(66,-2658,-4784,250,90)
.set(66,2612,-4877,250,180)
.set(66,-3364,3716,250,-90)
